Gene pairs|common Interactors|#PPI for first_partner_gene|#PPI for second_partner_gene|domain of first_partner_gene|domain of second_partner_gene|domain of fusions
SQSTM1 ALK|{'PKN1', 'CALM1', 'PTPRJ', 'RIPK1', 'APP', 'MARK2', 'MTOR', 'LIMK1', 'CDK5', 'AXL', 'HSP90AA1', 'BRAF', 'MAPK1', 'MAP3K7', 'TFG', 'MAPK3', 'MAP3K1', 'GRB14', 'EGFR', 'PIK3R2', 'MAP3K14', 'PLCG1', 'SYK', 'DNAJA3', 'MYO1D', 'SHC3', 'IKBKB', 'RELA', 'SH2B1', 'ARRB2', 'CRK', 'CDK1', 'AR', 'ERBB2', 'IKBKG', 'PTPN1', 'HSPD1', 'UHMK1', 'BCL2', 'NTRK1', 'MARK1', 'MATK', 'NTRK2', 'HSPA1L', 'GHR', 'TNK2', 'TUBA3C', 'ARRB1', 'ACTG1', 'AKT1', 'IRS1', 'ZAP70', 'EPPK1', 'CAMK2D', 'TGFBR1', 'FLNA', 'YWHAE', 'INPPL1', 'LCK', 'MAP2K5', 'SOCS2', 'LYN', 'FRS2', 'BCAR1', 'PTPN6', 'MAPK8', 'HSP90AB1', 'ABL1', 'BMPR2', 'CSK', 'HCK', 'PRKCQ', 'STAT1', 'FYN', 'IL2RB', 'BTK', 'CHUK', 'PTPRE', 'GRB2', 'MST1R', 'HSPA5', 'EEF1A2', 'VAV1', 'BAG2', 'KRT18', 'SOS1', 'RAF1', 'STK4', 'MAPK7', 'SRC', 'RAB35', 'RPS27L', 'MAP3K5', 'PRKCD', 'MAP3K3', 'VAV3', 'RPS27', 'STAT5A', 'PTPN11', 'ITK', 'IQGAP1', 'TIMM50', 'CDC37', 'ULK1', 'DNAJA1', 'LCP2', 'YWHAZ', 'SLC25A5', 'CASP3', 'IRAK1', 'NTRK3', 'MYO6', 'ARAF', 'NCK2', 'MAP3K2', 'STK3', 'HSPA9', 'TUBB', 'TUBA1A', 'PDGFRB', 'ASAP1', 'HSPA8', 'PRKCA', 'NPM1', 'PIK3R1', 'CD40', 'VIM', 'WAS', 'SHC1', 'SH2B2', 'PIK3CA', 'TUBB4A', 'ILK', 'INSR', 'STAT3', 'MAP3K11', 'ACTN4', 'MET', 'CAMK2B', 'CAD', 'CBL', 'SOCS3'}
SRGAP3 RAF1|{'ARL10', 'RHOV', 'TEC', 'RAB3C', 'ABL1', 'RAB30', 'VAV2', 'RHEB', 'ARHGEF7', 'ROBO1', 'PIK3R1', 'RAB6B', 'SMARCA4', 'RAB41', 'YES1', 'ARHGEF12', 'ARHGAP35', 'RND2', 'SORBS3', 'ARHGAP5', 'RAB9B', 'RND1', 'TMUB1', 'SKAP1', '-', 'CTTN', 'MAPK8IP1', 'EFS', 'VAV1', 'NCK2', 'SUV39H1', 'RAC3', 'RASL11A', 'ARHGEF9', 'SH3KBP1', 'ITK', 'GRAP2', 'CRKL', 'RHOF', 'TNIK', 'BCR', 'BCAR1', 'ITSN2', 'MRAS', 'NSFL1C', 'DNMBP', 'UBXN7', 'ITSN1', 'RHOA', 'RASA1', 'EGFR', 'RHOC', 'ESR1', 'ARHGEF11', 'VAV3', 'MAPK8IP2', 'KALRN', 'ARHGEF37', 'RAB6C', 'SUMO4', 'DBNL', 'MAP3K9', 'OBSCN', 'RHOT2', 'ARHGEF16', 'RAB33A', 'RAP1B', 'FCHSD2', 'CRK', 'PLCG1', 'APP', 'SOS1', 'TRIO', 'RAB6A', 'FYN', 'RERG', 'HRAS', 'ABI1', 'MAP3K11', 'ARHGEF19', 'KRAS', 'ARHGEF6', 'NCK1', 'ARHGAP4', 'SGSM3', 'NGEF', 'RAB3A', 'RHOT1', 'RAP2A', 'STAM', 'GRB2', 'RND3', 'RHOQ', 'RAB18', 'DISC1', 'SORBS2', 'AR', 'YWHAE', 'RAB7A', 'SH3RF3', 'RASSF5', 'RHEBL1', 'MATK', 'RASD2', 'CDC42', 'AKAP13', 'RHOU', 'ABL2'}
SS18 SSX2|{'SMARCA2', 'TLE1', 'EZH2', 'SUZ12', 'HDAC2', 'SMARCA5', 'ATF2', 'EED', 'HDAC1'}|123|36|SSXT|Unknown from fpclass database|SSXT protein (N-terminal region), SSXRD motif
TAF15 NR4A3|{'PRKAR1A', 'FUS', 'EP300', 'ESR1', 'TAF15', 'ESR2', 'EWSR1', 'COPS5'}|160|86|Nucleotide-binding_alpha-beta_plait, RNA_recognition_motif_domain, Zinc_finger_RanBP2-type|Nuclear_hormone_receptor_ligand-binding, Nuclear_hormone_receptor_ligand-binding_core, Orphan_nuclear_receptor, Orphan_nuclear_receptor_NOR1_type, Steroid_hormone_receptor, Zinc_finger_NHR/GATA-type, Zinc_finger_nuclear_hormone_receptor-type|Arginine/serine-rich protein PNISR, Selenoprotein P, N terminal region, Zinc finger, C4 type (two domains), Peroxisomal membrane anchor protein (Pex14p) conserved region, Ligand-binding domain of nuclear hormone receptor
TCF12 NR4A3|{'NCOR1', 'CREBBP', 'EP300', 'TCF12'}|139|86|Helix-loop-helix_DNA-binding, Helix-loop-helix_DNA-binding_domain|Nuclear_hormone_receptor_ligand-binding, Nuclear_hormone_receptor_ligand-binding_core, Orphan_nuclear_receptor, Orphan_nuclear_receptor_NOR1_type, Steroid_hormone_receptor, Zinc_finger_NHR/GATA-type, Zinc_finger_nuclear_hormone_receptor-type|Ligand-binding domain of nuclear hormone receptor, Double-strand recombination repair protein, Selenoprotein P, N terminal region, Zinc finger, C4 type (two domains)
TCF3 NOP2|{'RPL13', 'EZH2', 'EIF3G', 'EEF1A2', 'RPL14', 'COPS5', 'EIF4A1', 'MCM7', 'RPL23A', 'UBE2I', 'CSNK2A2', 'NPM1', 'RUVBL2', 'NCAPD2', 'DAXX', 'ESR1', 'PRPF8', 'RPL24', 'NAP1L1', 'FBL', 'CDK2', 'TOP2A', 'SSRP1', 'NCL', 'BRCA1', 'DDX17', 'HIST1H4A', 'RPS13', 'RPL4', 'JUN'}|367|208|Helix-loop-helix_DNA-binding, Helix-loop-helix_DNA-binding_domain|Bacterial_Fmu_(Sun)/eukaryotic_nucleolar_NOL1/Nop2p, Bacterial_Fmu_(Sun)/eukaryotic_nucleolar_NOL1/Nop2p_conserved_site, Nop2p, P120R, RNA_(C5-cytosine)_methyltransferase, RNA_(C5-cytosine)_methyltransferase_NOP2|60s Acidic ribosomal protein, Ryanodine Receptor TM 4-6, FAM176 family, N-terminal domain of 16S rRNA methyltransferase RsmF, 16S rRNA methyltransferase RsmB/F, CDC45-like protein, Helix-loop-helix DNA-binding domain
TCF3 PBX1|{'TCF7L2', 'RXRA', 'SMAD4', 'SMAD3', 'MYOD1', 'HNF1A', 'CASK', 'CREB1', 'MDM2', 'NKX2-1', 'TCF12', 'NCOA3', 'ELAVL1', 'KMT2A', 'KAT6A', 'XRCC6', 'TCF4', 'POU3F2', 'SATB1', 'SMARCA4', 'SP1', 'TADA2A', 'MYBL2', 'HDAC3', 'RPS13', 'CREBBP', 'TCF21', 'HDAC1', 'THRA', 'NCOR1', 'AR', 'ETS1', 'ZFHX3', 'HOXA1', 'LMX1B', 'CDX2', 'RBPJ', 'MEIS1', 'ONECUT1', 'SMAD2', 'SOX2', 'CERS2', 'LMX1A', 'PDX1', 'NR3C1', 'KAT2A'}|367|187|Helix-loop-helix_DNA-binding, Helix-loop-helix_DNA-binding_domain|Homeobox, Homeobox_conserved_site, Homeodomain-like, Homeodomain-related, PBX|PBC domain, Homeobox domain
TFG ALK|{'JAK2', 'EEF1A2', 'MARS', 'BAG2', 'JAK1', 'MAP2K5', 'TIMM50', 'EGFR', 'SLC25A6', 'RIPK1', 'ABL2', 'HSP90AA1', 'GRB2', 'SLC25A5', 'RAF1', 'HSPA6', 'PTK2B', 'CDC37', 'ABL1', 'CAD', 'GAB1', 'HSPA5', 'DDB1', 'CRK', 'TUBA3C', 'SYK', 'TUBB4A', 'FASN', 'KIT', 'BLNK', 'TUBA1A', 'RPS27', 'RPS27L', 'BTK', 'HSPA9', 'SRC', 'DNAJA3', 'VIM', 'RPS16', 'GRB10', 'HSP90AB1', 'MYO1D', 'IQGAP1', 'AIFM1', 'ATIC', 'LCP2', 'CALM1', 'FLNA', 'CHUK', 'MYO6', 'SPTBN1', 'PTPN6', 'MAP3K7', 'YWHAZ', 'GAB2', 'ZAP70', 'IRAK1', 'MAP3K2', 'LYN', 'PIK3R1', 'HSPA1L', 'MPRIP', 'ACTG1', 'DNAJA1', 'LAT2', 'IKBKG', 'MAP3K11', 'EPOR', 'TUBB', 'SHC1', 'HSPA8', 'TFG', 'IKBKB', 'CD40', 'YWHAE', 'CD22', 'HSPD1', 'MAP3K3', 'NTRK1', 'EPPK1', 'ACTN4', 'ALK', 'ASAP1'}|302|368|Phox/Bem1p|Concanavalin_A-like_lectin/glucanase, Low-density_lipoprotein_(LDL)_receptor_class_A_repeat, MAM_domain, Protein_kinase-like_domain, Protein_kinase_ATP_binding_site, Protein_kinase_catalytic_domain, Serine-threonine/tyrosine-protein_kinase, Tyrosine-protein_kinase_active_site, Tyrosine-protein_kinase_catalytic_domain, Tyrosine-protein_kinase_receptor_class_II_conserved_site|MAM domain, meprin/A5/mu, Low-density lipoprotein receptor domain class A, Glycine rich protein, Coagulation Factor Xa inhibitory site, Protein tyrosine kinase, PB1 domain
TFG NR4A3|{'-', 'EWSR1', 'COPS5'}|302|86|Phox/Bem1p|Nuclear_hormone_receptor_ligand-binding, Nuclear_hormone_receptor_ligand-binding_core, Orphan_nuclear_receptor, Orphan_nuclear_receptor_NOR1_type, Steroid_hormone_receptor, Zinc_finger_NHR/GATA-type, Zinc_finger_nuclear_hormone_receptor-type|PB1 domain, Selenoprotein P, N terminal region, Zinc finger, C4 type (two domains), Ligand-binding domain of nuclear hormone receptor
TFG NTRK1|{'PIK3R1', 'EWSR1', 'BTK', 'ATP6V1B2', 'CANX', 'AUP1', 'PLD2', 'SPTBN1', 'NTRK1', 'ATIC', 'TBK1', 'PPP2R1A', 'HSPA6', 'MAP2K5', 'GRB2', 'NBR1', 'MYO1C', 'FAF1', 'NAT10', 'COPS6', 'DNAJA3', 'PRKDC', 'LYN', 'PPP1CA', 'IQGAP1', 'SHC1', 'LIMA1', 'CDC37', 'BCR', 'PGLS', 'ACTN4', 'KRAS', 'IPO7', 'KLHL13', 'ASAP1', 'ALK', 'SYK', 'SRC', 'KIT', 'MCM2', 'PTK2B', 'COPS5', 'ATP6V0A1', 'SEC24A', 'RPL10A', 'YWHAE', 'NDC80', 'HSP90AA1', 'GABARAP', 'STAT5B', 'CHUK', 'SH3PXD2B', 'FLNA', 'CAND1', 'TSG101', 'JAK1', 'ITSN1', 'ABL2', 'MAGED1', 'CD22', 'TP73', 'HSP90AB1', 'CUL2', 'SQSTM1', 'IKBKB', 'DDB1', 'MARS', 'VIM', 'HNRNPF', 'JAK2', 'MYO6', 'RPL4', 'CUL3', 'PFKL', 'TUBB', 'PTPN6', 'PDCD6IP', 'GPRASP1', 'GAB2', 'CUL1', 'XPO7', 'CAPZA1', 'DNAJB1', 'LAT2', 'MALT1', 'BLNK', 'HSPD1', 'RPS3A', 'EPOR', 'HSPA9', 'ZAP70', 'ARL15', 'CAD', 'UBAP2L', 'RAF1', 'YWHAZ', 'CRK', 'RNF31', 'CLTA', 'XPO1', 'MAP3K11', 'RAD21', 'FASLG', 'ABL1', 'CPSF6', 'CUL4B', 'MAP3K7', 'IRAK1', 'CLINT1', 'TNFRSF10A', 'TUBA1A', 'CSE1L', 'C14orf1', 'CTNNB1', 'TRAF6', 'CUL5', 'BAG6', 'RIPK1', 'RARS', 'VCP', '-', 'TFG', 'CLTC', 'EEF1D', 'GAB1', 'HSPA5', 'EGFR', 'CRMP1', 'ANXA11', 'GRB10', 'NRAS', 'SLC25A5', 'DNAJA1', 'USO1', 'IARS', 'AIFM1', 'DBN1', 'FASN', 'HSPA8', 'SLC25A6', 'LCP2', 'GBP2'}|302|1681|Phox/Bem1p|Cysteine-rich_flanking_region_C-terminal_domain, Immunoglobulin-like, Immunoglobulin-like_fold, Immunoglobulin_subtype, Protein_kinase-like_domain, Protein_kinase_ATP_binding_site, Protein_kinase_catalytic_domain, Serine-threonine/tyrosine-protein_kinase, Tyrosine-protein_kinase_active_site, Tyrosine-protein_kinase_catalytic_domain, Tyrosine-protein_kinase_neurotrophic_receptor, Tyrosine-protein_kinase_neurotrophic_receptor_type_1, Tyrosine-protein_kinase_receptor_class_II_conserved_site|PB1 domain, Protein tyrosine kinase
TMPRSS2 ERG|{'PLAT', 'KLK3', 'CREBBP', 'ZMIZ1', 'EZH2', 'RNF6', 'PLAU', 'KLK2', 'SVIL', 'XRCC5', 'IFI16', 'AR', 'ETV5', 'PARP1', 'ETV1', 'XRCC6', 'NSD1', 'NCOA4', 'TMF1', 'GAK', 'PRKDC', 'PAK6', 'ERG', 'NSD2', 'RAD54L2', 'TMPRSS2', 'APP', 'DDC'}|154|203|Low-density_lipoprotein_(LDL)_receptor_class_A_conserved_site, Low-density_lipoprotein_(LDL)_receptor_class_A_repeat, Peptidase_cysteine/serine_trypsin-like, Peptidase_S1/S6_chymotrypsin/Hap, Peptidase_S1/S6_chymotrypsin/Hap_active_site, Peptidase_S1A_chymotrypsin-type, Speract/scavenger_receptor, Speract/scavenger_receptor-related|Ets, Sterile_alpha_motif-type, Sterile_alpha_motif/pointed, Sterile_alpha_motif_homology, Winged_helix-turn-helix_transcription_repressor_DNA-binding|Sterile alpha motif (SAM)/Pointed domain, Ets-domain, SAM domain (Sterile alpha motif), Peroxisomal membrane anchor protein (Pex14p) conserved region
TMPRSS2 ETV1|{'CREBBP', 'XRCC6', 'PRKDC', 'AR', 'PARP1', 'XRCC5', 'ETV4', 'ERG', 'TMPRSS2'}|154|105|Low-density_lipoprotein_(LDL)_receptor_class_A_conserved_site, Low-density_lipoprotein_(LDL)_receptor_class_A_repeat, Peptidase_cysteine/serine_trypsin-like, Peptidase_S1/S6_chymotrypsin/Hap, Peptidase_S1/S6_chymotrypsin/Hap_active_site, Peptidase_S1A_chymotrypsin-type, Speract/scavenger_receptor, Speract/scavenger_receptor-related|Ets, PEA3-type_ETS-domain_transcription_factor_N-terminal, Winged_helix-turn-helix_transcription_repressor_DNA-binding|PEA3 subfamily ETS-domain transcription factor N terminal domain, Ets-domain
TMPRSS2 ETV4|{'ETV1', 'AR', 'ETV5', 'CREBBP', 'TMPRSS2', 'APP'}|154|62|Low-density_lipoprotein_(LDL)_receptor_class_A_conserved_site, Low-density_lipoprotein_(LDL)_receptor_class_A_repeat, Peptidase_cysteine/serine_trypsin-like, Peptidase_S1/S6_chymotrypsin/Hap, Peptidase_S1/S6_chymotrypsin/Hap_active_site, Peptidase_S1A_chymotrypsin-type, Speract/scavenger_receptor, Speract/scavenger_receptor-related|Ets, PEA3-type_ETS-domain_transcription_factor_N-terminal, Winged_helix-turn-helix_transcription_repressor_DNA-binding|PEA3 subfamily ETS-domain transcription factor N terminal domain, Ets-domain
TMPRSS2 ETV5|{'KLK2', 'PATZ1', 'AR', 'UXT', 'DDC', 'ETV4', 'TMF1', 'NSD1', 'ERG', 'RNF6', 'ZMIZ1', 'RAD54L2', 'IFI16', 'COX5B', 'PAK6', 'APP', 'SVIL', 'NCOA4', 'NSD2', 'CREBBP', 'TMPRSS2'}|154|82|Low-density_lipoprotein_(LDL)_receptor_class_A_conserved_site, Low-density_lipoprotein_(LDL)_receptor_class_A_repeat, Peptidase_cysteine/serine_trypsin-like, Peptidase_S1/S6_chymotrypsin/Hap, Peptidase_S1/S6_chymotrypsin/Hap_active_site, Peptidase_S1A_chymotrypsin-type, Speract/scavenger_receptor, Speract/scavenger_receptor-related|Ets, PEA3-type_ETS-domain_transcription_factor_N-terminal, Winged_helix-turn-helix_transcription_repressor_DNA-binding|PEA3 subfamily ETS-domain transcription factor N terminal domain, Ets-domain
TPM3 ALK|{'TUBB4A', 'AIFM1', 'IQGAP1', 'MYO6', 'CALM1', 'MYO1D', 'TUBA1A', 'MYLK', 'NEK2', 'TUBA3C', 'ACTN4', 'NTRK1', 'HSPA8', 'VIM', 'RIPK1', 'MPRIP', 'ERBB2', 'HSPA5', 'CHUK', 'PRKCQ', 'HSPA1L', 'TUBB', 'HSPA9', 'CCT5', 'FLT1', 'CDK2', 'MAP3K11', 'DNAJA1', 'ACTG1', 'FASN', 'MYH9', 'IKBKB', 'EGFR', 'EEF1A2', 'MYH10', 'ARRB1', 'YWHAE', 'CDC37', 'RELA', 'HSP90AB1', 'HSP90AA1', 'ACTB', 'SPTBN1'}|207|368|Tropomyosin|Concanavalin_A-like_lectin/glucanase, Low-density_lipoprotein_(LDL)_receptor_class_A_repeat, MAM_domain, Protein_kinase-like_domain, Protein_kinase_ATP_binding_site, Protein_kinase_catalytic_domain, Serine-threonine/tyrosine-protein_kinase, Tyrosine-protein_kinase_active_site, Tyrosine-protein_kinase_catalytic_domain, Tyrosine-protein_kinase_receptor_class_II_conserved_site|Tropomyosin like, Tropomyosin, SlyX, Protein tyrosine kinase
TPM4 ALK|{'CORO1C', 'IQGAP1', 'ILK', 'EGFR', 'FLNA', 'NTRK1', 'ARRB1', 'FASN', 'PKN1', 'MYH9', 'CDK2', 'ACTG1', 'ACTB', 'AKT1', 'ACTN4'}|109|368|Tropomyosin|Concanavalin_A-like_lectin/glucanase, Low-density_lipoprotein_(LDL)_receptor_class_A_repeat, MAM_domain, Protein_kinase-like_domain, Protein_kinase_ATP_binding_site, Protein_kinase_catalytic_domain, Serine-threonine/tyrosine-protein_kinase, Tyrosine-protein_kinase_active_site, Tyrosine-protein_kinase_catalytic_domain, Tyrosine-protein_kinase_receptor_class_II_conserved_site|Tropomyosin like, Tropomyosin, SlyX, Protein tyrosine kinase
TPR NTRK1|{'TNPO1', 'EEF1B2', 'DDX1', 'PSMA4', 'SEPT2', 'LMNA', 'EXOC3', 'EXOC7', 'U2AF2', 'YWHAE', 'XPO1', 'MYO1C', 'SHC1', 'STIP1', 'AKT1', 'DDX3X', 'RPL6', 'SRSF11', 'TRAF6', 'OGT', 'NUP160', 'NTRK1', 'STAU1', 'EDC4', 'MAD1L1', 'PRKDC', 'RRP12', 'RAD21', 'DNAJC7', 'SUPT16H', 'MRE11', 'MCM2', 'HNRNPU', 'EFTUD2', 'TOP1', 'KPNB1', 'RAN', 'HRAS', 'VCAM1', 'NUP214', 'EEF1D', 'MDM2', 'RBM4', 'FKBP5', 'NPM1', 'EPHB2', 'MAPK1', 'DDB1', 'CDC5L', 'G3BP2', 'NUP205', 'SFPQ', 'SART3', 'SRSF5', 'NUP107', 'S100A9', 'NUP210', 'SF1', 'HNRNPA2B1'}|110|1681|Prefoldin, Seryl-tRNA_synthetase_class_IIa_N-terminal, Tetratricopeptide_MLP1/MLP2-like|Cysteine-rich_flanking_region_C-terminal_domain, Immunoglobulin-like, Immunoglobulin-like_fold, Immunoglobulin_subtype, Protein_kinase-like_domain, Protein_kinase_ATP_binding_site, Protein_kinase_catalytic_domain, Serine-threonine/tyrosine-protein_kinase, Tyrosine-protein_kinase_active_site, Tyrosine-protein_kinase_catalytic_domain, Tyrosine-protein_kinase_neurotrophic_receptor, Tyrosine-protein_kinase_neurotrophic_receptor_type_1, Tyrosine-protein_kinase_receptor_class_II_conserved_site|Baculovirus polyhedron envelope protein, PEP, C terminus, JNK-interacting protein leucine zipper II, IncA protein, Cell division protein ZapB, Protein of unknown function (DUF3373), JNK_SAPK-associated protein-1, Fibrinogen alpha/beta chain family, Seryl-tRNA synthetase N-terminal domain, Cell-cycle alteration and expression-elevated protein in tumour, Alanine-zipper, major outer membrane lipoprotein, TPR/MLP1/MLP2-like protein, Uso1 / p115 like vesicle tethering protein, C terminal region, Domain of unknown function (DUF5082), Transcription factor IIA, alpha/beta subunit, Probable sporulation protein (Bac_small_yrzI), Protein tyrosine kinase, TolA binding protein trimerisation
TRIM27 RET|{'MAP3K7', 'PLCG2', 'GRB2', 'IRS1', 'SRC', 'IKBKG', 'ILK', 'MAP3K1', 'PIK3C2B', 'MAP3K3', 'NOTCH2NL', 'CHUK', 'HSP90AA1', 'CREBBP', 'FLT3', 'STAT3', 'IKBKB', 'SKI', 'SMAD2', 'UBC', 'STK26', 'AKT1', 'ABL1', 'AURKA', 'MAP3K11', 'PRKCQ', 'HSP90AB1', 'BAG6', 'TRIM33'}|365|428|B302/SPRY_domain, Butyrophylin-like, Concanavalin_A-like_lectin/glucanase, SPla/RYanodine_receptor_SPRY, SPla/RYanodine_receptor_subgroup, SPRY-associated, Zinc_finger_B-box, Zinc_finger_B-box_chordata, Zinc_finger_C3HC4_RING-type, Zinc_finger_RING-type, Zinc_finger_RING-type_conserved_site, Zinc_finger_RING/FYVE/PHD-type|Cadherin, Cadherin-like, Protein_kinase-like_domain, Protein_kinase_ATP_binding_site, Protein_kinase_catalytic_domain, Serine-threonine/tyrosine-protein_kinase, Tyrosine-protein_kinase_active_site, Tyrosine-protein_kinase_catalytic_domain, Tyrosine-protein_kinase_Ret_receptor|zinc finger of C3HC4-type, RING, B-box zinc finger, IncA protein, Integral membrane protein DUF106, Protein tyrosine kinase, Proline-rich nuclear receptor coactivator
